what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1298483661203
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1298483661296
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1298483661375
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1298483661515
started,bundle,org.eclipse.wst.common.emf,1.2.1.v201008260500,"org.eclipse.wst.common.emf",1298483661625
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.2.v201008242000,"org.eclipse.wst.common.emfworkbench.integration",1298483661671
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1298483661765
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1298483661843
started,bundle,org.eclipse.wst.common.modulecore,1.2.3.v201008242000,"org.eclipse.wst.common.modulecore",1298483661953
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1298483662015
started,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1298483662140
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1298483662296
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1298483662437
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1298483662578
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1298483662640
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1298483662640
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1298483662687
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1298483662890
started,bundle,org.eclipse.wst.web,1.1.401.v201007151900,"org.eclipse.wst.web",1298483663046
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1298483663156
os,sysinfo,,,"win32",1298483663281
arch,sysinfo,,,"x86",1298483663281
ws,sysinfo,,,"win32",1298483663281
locale,sysinfo,,,"nl_BE",1298483663281
processors,sysinfo,,,"1",1298483663281
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1298483663281
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1298483663281
java.specification.name,sysinfo,,,"Java Platform API Specification",1298483663281
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298483663281
java.specification.version,sysinfo,,,"1.6",1298483663281
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1298483663281
java.version,sysinfo,,,"1.6.0_24",1298483663281
java.vm.info,sysinfo,,,"mixed mode",1298483663281
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1298483663281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1298483663281
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1298483663281
java.vm.specification.version,sysinfo,,,"1.0",1298483663281
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1298483663281
java.vm.version,sysinfo,,,"19.1-b02",1298483663281
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1298483664343
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1298483664906
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1298483666375
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1298483666562
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1298483667109
